pokemon,dex_number,red0,blue0,green0,red1,blue1,green1,red2,blue2,green2,red3,blue3,green3,red4,blue4,green4,proportion0,proportion1,proportion2,proportion3,proportion4
diglett.png,50,153,79,40,55,20,12,175,156,151,129,34,24,168,107,98,0.1764,0.1237,0.0404,0.0301,0.0066
dugtrio.png,51,153,81,37,53,20,11,185,156,144,130,32,21,184,102,92,0.2238,0.1558,0.0437,0.026,0.0034
meowth.png,52,129,86,56,251,218,107,39,24,14,180,160,127,167,137,69,0.1491,0.1404,0.128,0.1095,0.0209
persian.png,53,250,226,85,35,29,17,108,96,62,177,167,125,169,150,59,0.1266,0.0837,0.0829,0.0506,0.0271
psyduck.png,54,248,247,1,128,110,67,180,165,28,32,29,13,163,160,148,0.2424,0.1215,0.0882,0.0871,0.0584
golduck.png,55,68,91,196,67,81,145,19,24,49,145,150,194,40,53,113,0.223,0.0976,0.0839,0.0515,0.0498
mankey.png,56,210,154,104,133,84,65,44,27,20,98,51,41,179,112,81,0.2267,0.1719,0.1086,0.0135,0.0071
primeape.png,57,131,76,54,221,146,112,39,24,17,187,110,77,101,52,33,0.1894,0.1715,0.1181,0.0118,0.0091
growlithe.png,58,163,76,26,44,20,6,196,156,102,199,128,43,234,195,137,0.2032,0.1839,0.127,0.0124,0.0094
arcanine.png,59,40,20,12,143,80,54,254,191,67,190,159,117,137,36,20,0.1392,0.1343,0.1231,0.0875,0.0241
poliwag.png,60,27,31,37,14,11,10,82,87,97,156,158,163,114,90,86,0.1252,0.072,0.0707,0.0449,0.0359
poliwhirl.png,61,73,101,117,26,33,42,147,161,169,14,14,14,215,220,223,0.1893,0.143,0.0597,0.0415,0.0317
poliwrath.png,62,47,47,116,20,20,45,13,13,13,141,141,195,84,84,122,0.139,0.1276,0.0628,0.0603,0.0517
abra.png,63,222,151,26,133,97,49,38,27,12,190,163,116,98,72,84,0.2186,0.1284,0.0897,0.0582,0.0456
kadabra.png,64,218,148,27,134,97,51,39,28,13,42,28,34,181,160,124,0.187,0.1743,0.109,0.0689,0.0526
alakazam.png,65,220,150,26,123,96,56,37,27,13,42,29,35,180,161,128,0.1459,0.1114,0.096,0.0672,0.0634
machop.png,66,107,103,70,35,36,20,159,137,88,167,162,147,71,83,33,0.1486,0.1241,0.0974,0.0593,0.0564
machoke.png,67,113,95,69,132,139,90,29,26,18,172,164,150,69,73,47,0.163,0.1493,0.1455,0.0686,0.016
machamp.png,68,31,34,17,108,106,67,170,156,119,71,83,32,153,137,83,0.176,0.1704,0.1438,0.0891,0.0438
bellsprout.png,69,102,99,73,29,24,19,167,250,68,162,163,146,118,177,45,0.1016,0.0958,0.0864,0.0761,0.0255
weepinbell.png,70,111,253,64,26,14,14,234,73,73,130,75,74,195,251,177,0.161,0.0884,0.0808,0.0621,0.0452
victreebel.png,71,118,204,26,91,110,70,21,26,15,153,169,134,173,228,113,0.1342,0.1072,0.0723,0.0593,0.0442
tentacool.png,72,93,162,245,61,95,138,18,31,46,16,16,16,158,158,158,0.194,0.0719,0.0491,0.0351,0.0331
tentacruel.png,73,94,160,238,28,11,11,59,95,139,14,24,36,186,14,14,0.2088,0.1388,0.0905,0.0806,0.0697
geodude.png,74,102,103,89,29,39,26,156,152,141,73,92,65,34,33,30,0.1048,0.0852,0.075,0.0686,0.0542
graveler.png,75,78,96,73,30,39,27,139,139,146,10,10,10,92,93,97,0.2026,0.1709,0.0915,0.0558,0.0311
golem.png,76,26,36,23,108,105,66,18,17,11,68,90,60,147,131,66,0.1415,0.1323,0.1247,0.1208,0.0776
ponyta.png,77,245,57,33,203,144,97,214,219,32,41,23,18,131,87,69,0.1145,0.11,0.0658,0.05,0.0487
rapidash.png,78,244,61,33,215,142,71,214,219,32,131,88,60,193,174,30,0.1399,0.1225,0.0807,0.0421,0.0405
slowpoke.png,79,244,79,133,153,58,83,53,18,28,162,162,162,117,34,56,0.2609,0.0829,0.0554,0.0313,0.031
slowbro.png,80,247,81,136,85,116,78,153,175,148,23,23,23,99,97,95,0.2371,0.0799,0.071,0.053,0.0408
magnemite.png,81,82,90,116,139,150,187,158,158,158,31,27,27,28,31,41,0.0729,0.0644,0.0546,0.0494,0.0489
magneton.png,82,21,14,13,134,146,188,117,90,85,161,155,153,82,89,114,0.1759,0.0809,0.079,0.0613,0.0591
farfetchd.png,83,141,92,71,180,154,144,36,24,20,56,200,18,210,231,205,0.171,0.0936,0.0877,0.0264,0.0219
doduo.png,84,140,95,73,37,26,21,167,155,149,86,58,43,159,119,98,0.2123,0.1058,0.0789,0.0034,0.0015
dodrio.png,85,134,79,59,35,22,17,183,148,124,100,48,36,171,111,92,0.1664,0.1318,0.0872,0.0125,0.0042
seel.png,86,158,174,253,214,220,251,79,84,111,136,148,205,159,159,159,0.1322,0.1022,0.0596,0.0536,0.0461
dewgong.png,87,157,174,253,217,222,247,141,152,190,79,89,124,103,103,103,0.1588,0.1261,0.0797,0.0589,0.0345
grimer.png,88,79,7,76,157,12,122,196,34,145,211,131,187,5,5,5,0.274,0.1392,0.1009,0.0385,0.0369
muk.png,89,80,7,77,222,21,157,159,12,124,211,126,186,8,8,8,0.2565,0.1985,0.1206,0.0259,0.0256
shellder.png,90,128,68,104,29,14,8,142,72,42,46,23,37,171,158,152,0.172,0.138,0.1191,0.0797,0.0556
cloyster.png,91,43,17,46,131,66,138,5,5,5,171,84,179,99,36,106,0.1353,0.1347,0.115,0.09,0.0642
gastly.png,92,244,214,244,238,65,241,216,134,217,1,1,1,48,3,60,0.1971,0.1368,0.1042,0.0862,0.0792
haunter.png,93,9,4,3,47,2,59,110,3,142,156,66,61,171,157,156,0.2675,0.1267,0.0669,0.0432,0.0234
gengar.png,94,1,0,0,35,1,60,82,7,124,108,74,135,168,151,181,0.3577,0.1634,0.049,0.0234,0.0232
onix.png,95,37,25,45,11,11,11,146,131,168,102,88,120,73,48,89,0.1573,0.0631,0.0631,0.0608,0.0593
drowzee.png,96,235,176,50,140,80,95,130,98,55,35,28,14,254,203,83,0.2637,0.1267,0.0762,0.0667,0.0362
hypno.png,97,145,98,25,254,205,0,45,32,10,208,158,4,176,163,143,0.1366,0.1172,0.0831,0.0745,0.0455
krabby.png,98,236,51,38,143,74,57,46,19,15,206,143,107,141,28,22,0.168,0.1458,0.1394,0.1326,0.0487
kingler.png,99,236,48,36,219,141,95,42,16,12,151,75,56,146,27,21,0.1584,0.1295,0.1193,0.0973,0.0423
voltorb.png,100,165,162,143,153,64,60,43,20,19,136,32,31,132,132,112,0.2604,0.1985,0.1448,0.0616,0.0087
electrode.png,101,169,160,147,149,67,64,43,21,20,136,32,32,194,91,90,0.1557,0.1416,0.0743,0.03,0.0094
exeggcute.png,102,245,122,139,142,65,81,198,89,108,56,23,30,249,211,216,0.3125,0.0946,0.0693,0.0501,0.0327
exeggutor.png,103,139,99,57,45,123,60,31,22,13,173,161,149,14,41,19,0.1584,0.1197,0.1103,0.0523,0.052
cubone.png,104,120,88,51,166,159,119,38,28,15,152,139,87,86,64,33,0.2299,0.1621,0.1435,0.0287,0.0147
marowak.png,105,116,88,56,169,159,126,43,32,19,149,138,89,84,64,34,0.1652,0.1301,0.1028,0.0123,0.0079
hitmonlee.png,106,153,107,54,34,27,18,174,161,146,89,95,89,34,36,34,0.2365,0.0842,0.052,0.0492,0.0398
hitmonchan.png,107,172,137,121,115,92,81,207,28,139,37,30,26,52,9,35,0.1018,0.0834,0.0771,0.074,0.0422
lickitung.png,108,244,76,131,188,55,49,45,17,15,177,160,159,151,60,91,0.1684,0.1213,0.0542,0.0317,0.0298
koffing.png,109,248,248,248,56,23,56,196,82,196,226,211,226,108,40,108,0.362,0.0955,0.0676,0.0565,0.0562
weezing.png,110,89,40,112,40,19,50,133,63,143,198,81,200,5,5,5,0.1737,0.115,0.1049,0.1036,0.0648
rhyhorn.png,111,26,32,17,111,85,124,58,73,34,88,89,81,36,28,40,0.202,0.1609,0.0878,0.0591,0.0475
rhydon.png,112,112,85,124,33,40,22,94,96,86,58,73,35,33,26,37,0.2281,0.1591,0.0828,0.0752,0.0569
chansey.png,113,252,252,252,228,80,146,134,71,98,49,22,34,241,204,219,0.3467,0.0887,0.0774,0.0618,0.0351
tangela.png,114,18,25,45,61,84,142,75,107,188,22,14,14,123,67,67,0.1733,0.1443,0.1056,0.0816,0.0627
kangaskhan.png,115,131,103,44,44,40,13,170,161,139,87,72,21,161,134,76,0.2373,0.2111,0.0531,0.0424,0.0066
horsea.png,116,99,143,242,65,88,140,20,29,50,76,118,213,102,101,90,0.2039,0.077,0.0569,0.0392,0.0367
seadra.png,117,84,136,246,187,163,140,57,87,150,18,29,54,68,118,226,0.1576,0.0854,0.0764,0.0635,0.0531
goldeen.png,118,178,153,145,252,209,225,112,98,93,244,105,152,253,154,190,0.0717,0.0645,0.0634,0.0533,0.045
seaking.png,119,157,181,245,29,13,8,209,220,249,148,80,54,192,145,131,0.115,0.1073,0.0978,0.0782,0.0735
staryu.png,120,188,146,117,36,24,18,118,86,65,232,73,50,247,159,151,0.1552,0.1282,0.1244,0.0395,0.0084
starmie.png,121,49,19,46,143,60,135,20,18,11,203,171,7,167,162,147,0.2022,0.1515,0.0791,0.0662,0.0539
mrmime.png,122,240,101,234,9,9,9,224,66,144,49,16,36,141,60,115,0.1235,0.113,0.1035,0.0881,0.0761
scyther.png,123,124,198,6,27,36,13,90,116,52,187,227,106,158,163,143,0.1323,0.0961,0.0768,0.0522,0.0433
jynx.png,124,233,53,155,56,12,47,99,99,99,160,160,160,151,58,113,0.1142,0.0996,0.056,0.0534,0.0522
electabuzz.png,125,26,20,9,190,142,38,124,99,52,247,243,44,176,165,131,0.2183,0.1283,0.1275,0.0893,0.0589
magmar.png,126,168,74,48,245,155,3,39,20,12,187,158,130,118,38,32,0.2461,0.1372,0.1279,0.0713,0.0263
pinsir.png,127,122,85,68,41,30,24,167,161,142,94,56,39,135,135,98,0.1957,0.1145,0.1046,0.0094,0.0054
tauros.png,128,48,34,20,126,92,58,205,122,41,170,158,147,93,62,30,0.295,0.1478,0.0672,0.0582,0.0112
magikarp.png,129,230,79,51,123,81,73,186,152,146,44,24,20,155,62,81,0.099,0.0813,0.0726,0.0656,0.0473
gyarados.png,130,74,114,208,23,23,17,60,85,143,101,99,83,17,27,49,0.0993,0.0951,0.0914,0.0839,0.0833
lapras.png,131,66,130,225,204,167,124,55,91,144,122,154,204,109,96,80,0.1373,0.0932,0.052,0.0512,0.049
ditto.png,132,184,97,225,112,64,137,42,24,51,163,163,163,99,99,99,0.3796,0.1322,0.0527,0.0234,0.0208
eevee.png,133,136,86,41,48,27,11,194,130,48,181,160,137,224,190,146,0.2043,0.1594,0.0888,0.078,0.0047
vaporeon.png,134,78,96,234,16,20,43,118,149,231,140,177,253,70,83,138,0.1057,0.0929,0.0899,0.0639,0.0624
jolteon.png,135,158,88,38,40,24,11,170,158,142,251,246,32,191,159,17,0.1605,0.1204,0.078,0.0755,0.0384
flareon.png,136,158,67,40,43,17,10,190,152,137,247,84,16,136,37,13,0.1559,0.1366,0.0807,0.0475,0.0336
porygon.png,137,66,115,151,170,78,47,137,168,191,209,221,230,172,157,152,0.1498,0.1002,0.0828,0.0613,0.0331
omanyte.png,138,59,104,150,107,98,80,31,28,23,162,158,149,18,32,46,0.1321,0.0883,0.0853,0.0684,0.0545
omastar.png,139,57,106,155,106,96,77,34,30,22,20,35,51,161,137,89,0.1861,0.1052,0.0885,0.0672,0.0642
kabuto.png,140,21,16,10,122,91,36,169,162,147,93,67,20,170,137,61,0.2576,0.215,0.045,0.0103,0.0046
kabutops.png,141,132,101,37,38,30,17,169,163,149,107,75,8,170,136,60,0.2278,0.1564,0.0857,0.0201,0.0118
aerodactyl.png,142,97,92,86,33,31,30,157,157,136,136,135,109,69,68,55,0.239,0.1547,0.1064,0.0176,0.0042
snorlax.png,143,14,10,10,206,148,122,112,85,80,169,114,94,80,55,54,0.217,0.1817,0.0946,0.0076,0.0064
articuno.png,144,111,163,218,73,98,132,202,222,243,26,37,51,84,129,180,0.1777,0.1315,0.1259,0.0494,0.0274
zapdos.png,145,252,227,0,23,20,6,114,103,61,184,158,7,164,160,147,0.1846,0.1383,0.0812,0.0678,0.0607
moltres.png,146,235,144,48,251,177,0,253,99,25,140,88,40,50,29,13,0.2144,0.1079,0.0866,0.0481,0.0313
dratini.png,147,229,215,73,67,115,195,164,164,138,60,90,139,101,99,83,0.1079,0.0909,0.0608,0.0574,0.0539
dragonair.png,148,45,108,173,129,152,197,16,35,56,215,222,239,160,160,160,0.2538,0.0612,0.0564,0.04,0.033
dragonite.png,149,195,139,34,123,98,53,41,33,18,173,161,139,88,82,122,0.1975,0.107,0.0854,0.0711,0.0292
mewtwo.png,150,175,159,198,126,54,154,43,16,53,99,91,111,166,134,186,0.1339,0.0943,0.0612,0.0428,0.0337
mew.png,151,226,124,229,250,212,250,126,76,127,158,158,158,97,97,97,0.0745,0.0662,0.0556,0.0464,0.0364
chikorita.png,152,170,185,105,36,150,14,97,104,72,11,43,5,86,170,50,0.2713,0.0875,0.0583,0.0421,0.0368
bayleef.png,153,221,206,56,29,35,10,97,118,43,70,91,14,168,167,42,0.1343,0.1248,0.1066,0.0687,0.0561
meganium.png,154,105,193,25,167,10,79,113,100,78,165,165,159,29,30,24,0.2161,0.1377,0.0636,0.0535,0.0464
cyndaquil.png,155,230,147,62,248,67,43,254,220,0,26,13,6,253,211,17,0.1587,0.1267,0.1139,0.1043,0.0496
quilava.png,156,253,227,38,215,151,86,33,16,6,139,85,45,245,83,32,0.1799,0.1016,0.0909,0.0612,0.0371
typhlosion.png,157,254,220,75,27,11,5,177,68,40,207,151,95,213,91,52,0.2006,0.1188,0.0969,0.0818,0.0211
totodile.png,158,104,141,210,68,91,133,20,28,42,33,22,19,175,151,146,0.2384,0.1072,0.0794,0.0513,0.047
croconaw.png,159,105,141,232,70,88,134,206,218,247,177,149,148,114,81,79,0.1778,0.0718,0.0598,0.0538,0.0508
feraligatr.png,160,88,111,231,134,74,55,65,79,147,19,23,47,172,155,149,0.2484,0.1083,0.0804,0.069,0.0623
sentret.png,161,178,132,99,131,84,59,44,28,20,97,51,34,161,114,97,0.1285,0.1077,0.0579,0.0027,0.0005
furret.png,162,184,167,32,121,91,30,41,33,14,171,166,137,96,72,16,0.2349,0.1828,0.0664,0.0321,0.0225
hoothoot.png,163,145,93,57,26,16,10,13,17,42,181,156,138,150,152,170,0.1562,0.1424,0.0788,0.0702,0.0203
noctowl.png,164,127,90,50,31,22,14,48,23,27,177,164,148,90,42,49,0.1374,0.0849,0.0656,0.0468,0.0226
ledyba.png,165,30,14,10,199,154,101,134,81,62,216,63,52,131,31,25,0.1651,0.1451,0.1061,0.0428,0.0275
ledian.png,166,33,15,11,136,83,61,204,161,99,221,55,42,128,32,27,0.136,0.0867,0.0844,0.0523,0.0265
spinarak.png,167,21,18,13,113,97,76,184,161,130,74,164,42,17,37,10,0.0954,0.0736,0.0728,0.0634,0.0578
ariados.png,168,30,19,18,219,81,66,117,62,142,116,85,82,164,158,157,0.0717,0.0551,0.0512,0.0504,0.0421
crobat.png,169,134,66,154,15,31,52,43,21,49,25,25,25,159,159,159,0.1029,0.0559,0.0454,0.0345,0.0269
chinchou.png,170,107,83,222,201,171,89,111,103,79,33,30,24,28,22,54,0.1312,0.1191,0.0657,0.0432,0.0306
lanturn.png,171,107,82,227,238,196,115,181,165,142,103,98,87,35,33,28,0.2465,0.0509,0.0456,0.0453,0.0325
pichu.png,172,238,213,43,24,15,7,138,97,50,185,162,118,194,158,30,0.1833,0.1536,0.0825,0.0555,0.0525
cleffa.png,173,252,107,203,141,68,108,106,58,1,121,86,69,50,33,15,0.3601,0.0506,0.0478,0.0472,0.0447
igglybuff.png,174,254,132,197,227,120,171,137,71,96,194,89,126,163,157,157,0.2773,0.0469,0.0429,0.0384,0.0266
togepi.png,175,243,211,93,111,102,72,178,164,124,33,30,21,250,217,231,0.1349,0.1279,0.1276,0.1144,0.0286
togetic.png,176,188,164,245,172,154,153,223,212,248,109,87,86,203,130,176,0.1101,0.0377,0.0308,0.0263,0.0263
natu.png,177,85,188,109,19,18,18,57,117,71,53,15,17,17,38,22,0.2595,0.1034,0.0844,0.0816,0.0681
xatu.png,178,15,13,13,89,187,112,53,15,18,160,159,159,95,93,92,0.0894,0.0721,0.0562,0.0436,0.0415
mareep.png,179,192,160,58,25,22,13,109,98,68,185,168,112,76,38,143,0.1499,0.082,0.0803,0.08,0.0621
flaaffy.png,180,229,118,161,243,209,223,132,69,105,45,20,38,199,92,137,0.1841,0.0939,0.0902,0.0633,0.0457
ampharos.png,181,253,253,28,36,26,8,121,103,61,167,158,145,182,165,21,0.0944,0.0645,0.0622,0.0426,0.0244
bellossom.png,182,220,68,51,137,73,65,46,22,20,48,131,63,186,149,145,0.12,0.0976,0.0891,0.0833,0.0569
marill.png,183,74,105,234,153,77,63,62,80,151,16,22,43,28,24,23,0.1808,0.0757,0.0663,0.0572,0.041
azumarill.png,184,82,122,196,64,88,132,21,31,47,35,21,18,134,79,68,0.2521,0.0738,0.063,0.0479,0.0474
sudowoodo.png,185,134,88,68,55,110,62,41,31,26,170,154,147,24,49,27,0.2328,0.0791,0.075,0.051,0.0396
politoed.png,186,63,167,48,202,251,36,53,122,46,29,32,17,17,45,14,0.1578,0.1406,0.0747,0.0519,0.0437
hoppip.png,187,169,49,58,61,18,21,88,180,49,65,121,42,26,24,23,0.2105,0.0585,0.0564,0.0511,0.0376
skiploom.png,188,64,141,56,218,171,78,22,47,20,170,154,44,112,98,60,0.2439,0.0573,0.0466,0.0322,0.0309
jumpluff.png,189,80,71,193,212,179,119,156,153,184,231,197,129,227,226,233,0.1506,0.0796,0.0323,0.0235,0.0235
aipom.png,190,48,18,54,97,34,111,190,155,116,111,97,79,239,189,101,0.1402,0.1365,0.1084,0.069,0.0594
sunkern.png,191,138,163,46,234,226,9,23,26,12,91,106,61,159,160,157,0.1422,0.0994,0.0889,0.0683,0.0339
sunflora.png,192,194,173,23,83,171,3,115,106,54,31,29,15,22,43,3,0.2132,0.1167,0.0902,0.0679,0.0658
yanma.png,193,135,71,70,35,18,17,172,153,153,78,208,85,111,42,41,0.1245,0.1017,0.0617,0.0346,0.025
wooper.png,194,131,161,201,81,94,115,124,76,114,162,162,162,26,26,26,0.2758,0.0604,0.0409,0.0317,0.0276
quagsire.png,195,114,170,226,73,91,129,26,35,49,41,12,57,209,226,243,0.3405,0.0582,0.0371,0.0236,0.0225
espeon.png,196,200,123,208,120,71,129,45,25,49,12,12,12,233,216,235,0.2272,0.1062,0.0889,0.0456,0.0353
umbreon.png,197,11,10,5,31,36,26,119,105,62,161,161,158,104,80,6,0.326,0.0777,0.0446,0.0291,0.014
murkrow.png,198,4,4,3,18,18,43,50,50,117,159,159,158,97,97,83,0.2838,0.1517,0.0692,0.04,0.0384
slowking.png,199,245,117,146,150,66,52,180,152,148,39,18,15,133,74,87,0.0826,0.0798,0.0692,0.0602,0.0342
misdreavus.png,200,74,73,136,238,49,153,23,23,42,158,55,130,53,52,99,0.2515,0.0901,0.0837,0.072,0.0425
unown.png,201,27,27,30,0,0,0,153,153,156,90,90,96,216,216,218,0.0949,0.0833,0.0489,0.0462,0.0202
wobbuffet.png,202,99,168,244,59,106,130,22,41,50,11,11,11,206,222,238,0.2627,0.1214,0.0624,0.0252,0.0132
girafarig.png,203,236,171,58,17,14,9,117,94,66,45,17,26,137,66,89,0.1404,0.1069,0.0459,0.0352,0.0336
pineco.png,204,66,105,121,4,4,4,22,37,43,82,139,164,157,172,172,0.1674,0.1398,0.1377,0.098,0.0684
forretress.png,205,55,12,38,193,88,209,136,21,76,145,62,135,10,10,10,0.1434,0.138,0.0901,0.0754,0.0474
dunsparce.png,206,253,199,60,66,110,160,186,169,109,130,154,174,115,103,70,0.1078,0.0761,0.0707,0.0436,0.0339
gligar.png,207,189,49,138,56,16,42,124,31,90,68,60,160,51,44,125,0.2802,0.103,0.0603,0.0489,0.0343
steelix.png,208,143,127,211,98,83,133,104,77,109,125,106,180,222,218,242,0.1686,0.0948,0.081,0.0728,0.0634
snubbull.png,209,221,118,111,21,14,14,124,78,75,23,31,40,69,84,102,0.1861,0.0838,0.0686,0.0457,0.0374
granbull.png,210,185,97,178,46,16,50,135,68,136,112,33,126,11,11,11,0.1588,0.1421,0.1303,0.0951,0.0473
qwilfish.png,211,219,236,92,16,22,51,33,47,122,162,169,136,22,22,17,0.175,0.118,0.0553,0.0548,0.05
scizor.png,212,212,67,67,132,71,71,42,21,21,179,150,150,153,156,172,0.1685,0.0955,0.0817,0.0439,0.0422
shuckle.png,213,224,167,79,140,86,56,41,24,16,166,32,24,198,133,33,0.1629,0.1128,0.0705,0.0529,0.0181
heracross.png,214,38,31,127,18,15,55,81,75,142,158,158,158,91,91,91,0.1905,0.1692,0.1123,0.0318,0.0249
sneasel.png,215,57,57,88,25,25,39,13,13,13,99,99,99,158,158,158,0.1288,0.127,0.0997,0.0483,0.0439
teddiursa.png,216,157,101,49,45,28,16,175,157,140,185,123,61,102,53,30,0.3425,0.0981,0.0476,0.0044,0.0042
ursaring.png,217,156,89,8,46,26,2,245,241,52,113,66,3,164,159,152,0.3269,0.1991,0.042,0.0393,0.0275
slugma.png,218,179,56,42,54,21,17,188,149,135,131,35,24,244,224,120,0.2829,0.0879,0.0856,0.0408,0.0292
